正式运行期间服务考核表,,,,,,,
被考核公司：,×××,,,考核时间：,×××,,
NO.,考核项目,衡量指标,过程考核内容,评价标准,目标值,未达成处罚,备注
1,确保仓库物资安全,盘点（库存）准确率100%,收货准确率,确保账实一致,100%,①货物损失按照货值及相关损失进行赔偿；②收发错物料造成停线的，按照实际停线工时赔偿,
,,,发货准确率,确保账实一致,100%,,
,,,存储环境符合物料存放要求,根据环境执行结果考核,100%,,
,,,账务处理准确率,100%达标,100%,,
,,,日常盘点、年中/年终盘点准确率,100%达标,100%,,
2,快速响应作业需求,紧急物料,收、发货时效,急料：批量单据当日上午11:00左右提供，零散货单据提供在16:00截止，当日16:00前急料单据需当天21:00前完成，16:00后的单据经审批的当日完成,100%,①当月首次投诉予以警告，二次投诉起每起罚款100元/次；②造成停线的，按照实际停线工时赔偿,
,,正常物料（非急料）,收货入账时效,2H内,95%,,
,,,入库（上架）时效,4H内（从待上架区到上架）,95%,,
,,,发料时效,前一天下午6点前的需求，第二天完成。下午6点后的需求，在第三天上午十二点前完成,95%,,
3,诚信红线行为,零红线,诚信红线：向DJI隐瞒或提供不实的业务信息，如隐瞒重大质量异常、安全事故，以及篡改生产、结算及库存盘点数据等,年0起,100%,根据事件影响导致的损失进行赔偿,根据事件影响导致的损失进行赔偿
,,,作业过程中不接收任何形式的受贿行为,年0起,100%,,根据受贿金额及相关影响损失进行赔偿
,,,人员/外部门人员无盗窃仓库物资行为,年0起,100%,,货物损失按照货值及相关损失赔偿
4,业务单据保管完整率,单据100%完整,单据齐全且复核保存要求：1、单据包含但不限于新业务增加的单据：送货单、调拨单、退货单、杂项单、领退料申请单、领用单据、调账申请单；2、单据每月按业务类型整理打包标识好年月份送回DJI存储,100%达标,100%,根据事件影响导致的损失进行赔偿,
5,运输准时率,提货准时率,车辆在约定时间窗内到达委外厂卸货口提货,不早于窗口前30分钟、不晚于窗口后15分钟,≥98%,造成停线或缺料的按实际停线工时/损失赔偿；响应超时首次警告，二次起按次罚款,按车次统计
,,到仓/送达准时率,在约定时间窗内到达半成品仓或委外厂,时间窗内到达车次占比,≥98%,,按车次统计
,,排车响应时效,收到提货/出库需求后回复确认并输出排车计划,【2】小时内回复确认,≥98%,,含运力不足升级
6,交接准确率,收发交接准确率,提货点收、到仓/到厂交接的数量与单据、PDA数据一致,实物=单据=PDA 三方一致,1,差异按货值及影响损失赔偿；错发错送列违约事项,扫描逐项点收
,,错发/错送率,送错物料混单上错车,错发错送车次,0起,,
7,货物完好率,在途货损率,在途破损、受潮、锈蚀、污损、丢失、被盗,货损件数(金额)/总承运量(金额),≤【0.05%】,按货值及相关损失赔偿并负责补运；,须投保运输险
8,在途管控,运输合规率,无中途甩货、并货、私自换车、非计划停靠或过夜停放,违规车次,0起,,换车须事前书面申请
9,异常响应,在途异常上报及时率,延误、事故、货损、拒收等异常发现后按时上报,发现后【30】分钟内上报DJI与相关方,100%,瞒报、漏报、事后补录列重大违约,
10,入库时效,到仓收货过账及时率,委外厂提货到仓后完成系统收货过账,到仓后【2】小时内完成过账,≥99%,首次警告，二次起按次罚款,
11,异常处理,异常隔离标识及时率,残损/异常件隔离存放并悬挂醒目标识、完成留证,按要求隔离标识的异常件占比,100%,混入良品或未标识按违约处理；超期未闭环按次考核,
,,异常闭环时效,异常上报后跟踪至关闭,在【3】个工作日内闭环,≥95%,,录入异常台账
12,报表管理,报表及时准确率,日报、周报、月报、季度报告按时准确提交,按约定时点提交且数据准确,≥99%,延误或错误按次考核,
13,安全管理,安全达标率,消防巡检、叉车持证、监控完好、温湿度记录达标,各项安全检查合格,100%,重大安全事件一票否决,含门禁、消防、叉车
,,,,,,,
制表人：,,考核人：,,服务商：,,审核人：,
