NO.,名称,频率,简述,说明
1,运营日报,日,每日运营数据汇总,运营情况：
,,,,1.总出勤XX人，其中支援入X人，包规计算库容板数已使用XXX板，包规剩余托盘数XX板。
,,,,2.出库订单量XXX项，已发货XXX项，发货积压XXX项，XX小时周期达成率XX%
,,,,3.收货XXX项，入库XXX项，入库积压XXX项。
,,,,4.新增出库异常0项，加历史未处理异常共XX项待处理，详细信息见附件
,,,,5.新增收货异常0项，加历史未处理异常共XX项待处理，详细信息见附件。
2,异常事件报告,不定期,重大异常事件专项报告,当发生重大操作异常或投诉，需整理事件报告，包含事件完整经过、事件根本原因分析、立即行动措施（责任人、完成时间、整改证据）
,,,,长期行动措施（责任人、完成时间、整改证据）、回顾验证
3,异常事件跟进表,不定期,异常事件跟进记录,记录未在收集清单内、特殊事项、重要待办事项闭环情况，包括开始日期，预计闭环日期，责任人，闭环日期，是否预期等信息
4,温湿度记录表,日,当月、当日温湿度记录表,当月每日温湿度记录登记表
6,入库（上架）及时率,日,每日监控入库及时率,每日入库进度
7,收货数据,日,每日收货异常登记及闭环,按月的到货批次、到货异常统计等
8,发货数据,日,每日发货异常登记及闭环,按月的发货批次、发货异常统计等
9,盘点差异,周度抽盘、季度、年中、年终、,不定期盘点、循环盘点，定时的异常登记及闭环,包括日常盘点计划盘点记录、盘点结果、整改行动和验证
,,贵重|异常物料不定期,,
10,账务异常,日,每日账务异常登记及闭环,每周输出账务对账结果及异常分析
11,周报、周会 （会议纪要）,周,当周运营数据汇总,按周维度，统计分析各项运营数据，KP指标达成的情况，特殊事项跟进情况
12,月报、月会（会议纪要）,月,当月运营数据汇总,按月维度，统计分析各项运营数据，KP脂标达成的情况，特殊事项跟进情况
13,作业流程文件,不定期,配合更新仓内作业指导书,每次作业流程变更需配合更新作业流程文件，内容包括不限于：操作流程、流程图、异常处理归类、操作风险预案
14,仓储储位空置量,日,每周监控场地使用率,每日存储空置率
15,运营稽核报表,日,内部作业稽核数据,按月维度统计收货、在库、上架、拣货、打包、出货环节稽核结果，稽核明细，整改行动等
16,结算对账单,月,每月结算数据确认,每月结算数据确认
18,年中/年终盘点报告,按约定批次,盘点结果及差异分析改善报告,
